Period,Window,Factor,Type,Ann_Return,Ann_Volatility,Sharpe_Ratio,Max_Drawdown
Crash_2022 (俄乌/疫情),21d,cma,VMP_Gross,0.08001222874609548,0.05763630131848468,1.3882262899551219,0.03321952151083098
Crash_2022 (俄乌/疫情),21d,cma,VMP_Net,0.07349466685752232,0.05761270773014429,1.2756676391911401,0.033783968095000005
Crash_2022 (俄乌/疫情),21d,umd,Original,-0.24683370343140498,0.1479712500874304,-1.6681193359220838,0.25040651332232194
Crash_2022 (俄乌/疫情),21d,umd,VMP_Gross,-0.21181517111131487,0.1280892657289472,-1.6536527858590595,0.23152894522008985
Crash_2022 (俄乌/疫情),21d,umd,VMP_Net,-0.2257780508539102,0.12820396745985813,-1.7610847411926112,0.23997789589290872
Full (2005-2025),63d,mkt_rf,Original,0.13637993297509354,0.2739586318125786,0.4978121407336936,0.7383671326784843
Full (2005-2025),63d,mkt_rf,VMP_Gross,0.09129659039239948,0.2635735474086402,0.34637994324542254,0.7717228938368513
Full (2005-2025),63d,mkt_rf,VMP_Net,0.0848105289379765,0.26354819044406114,0.32180273670282616,0.7767131912477562
Full (2005-2025),63d,smb,Original,0.09698365371274033,0.1306581188966582,0.7422703964492852,0.4931062484867501
Full (2005-2025),63d,smb,VMP_Gross,0.053633709610727436,0.12960956558048037,0.4138098092568937,0.6439672544858793
Full (2005-2025),63d,smb,VMP_Net,0.046714769943693946,0.12963484049063254,0.3603565967828654,0.6569246028842913
Full (2005-2025),63d,hml,Original,0.01943714453277973,0.10861774197116435,0.17894999638217365,0.4052883648623789
Full (2005-2025),63d,hml,VMP_Gross,0.028495618737007553,0.10607999190663048,0.26862387736689153,0.48956119553353167
Full (2005-2025),63d,hml,VMP_Net,0.022211873394590926,0.10607707856892774,0.20939371346051813,0.5033698934480968
Full (2005-2025),63d,rmw,Original,-0.017625277541271685,0.13892249706833282,-0.1268712981210107,0.6778637350238994
Full (2005-2025),63d,rmw,VMP_Gross,0.010279100761480323,0.13834265101870458,0.0743017477675091,0.6437878907582546
Full (2005-2025),63d,rmw,VMP_Net,0.0032678931501577955,0.13834868985068843,0.023620701820050768,0.6648953587007536
Full (2005-2025),63d,cma,Original,0.0022761047657062646,0.10653243302077028,0.0213653692229342,0.5772821638029076
Full (2005-2025),63d,cma,VMP_Gross,0.009494950750687061,0.10112482844497396,0.09389336819348615,0.5053277221263486
Full (2005-2025),63d,cma,VMP_Net,0.0036025757550212337,0.10114547461830964,0.03561776509148028,0.5168651889349768
Full (2005-2025),63d,umd,Original,-0.0202983907187342,0.1659564368417766,-0.12231156022038935,0.770511093062544
Full (2005-2025),63d,umd,VMP_Gross,0.05465718925066919,0.15957463224140578,0.34251803361817157,0.5984676651594125
Full (2005-2025),63d,umd,VMP_Net,0.04857274813944676,0.15957654079298744,0.30438526802293786,0.6206844191226484
In-Sample (2010-2019),63d,mkt_rf,Original,0.046914473220706895,0.2551058728878113,0.18390197250119217,0.5737605324798573
