Period,Window,Factor,Alpha_Ann,t_stat,p_value,Beta,R_squared
Out-of-Sample (2020-2025),63d,smb,-0.007467969182063405,-0.20518670723560242,0.8374262545882153,0.5804161420366217,0.6044255087873442
Out-of-Sample (2020-2025),63d,hml,-0.0029216904351087106,-0.1785363921019171,0.8583017435139637,0.5734250167557182,0.8133265190982736
Out-of-Sample (2020-2025),63d,rmw,0.005944660161058011,0.189984991758352,0.849320891184566,0.9075614631774055,0.7517586110343971
Out-of-Sample (2020-2025),63d,cma,-0.011083386515960516,-0.5304712489529779,0.5957852379998354,0.528645327478564,0.7079336407082257
Out-of-Sample (2020-2025),63d,umd,0.05054336819564241,1.584876081168774,0.11299449197589208,0.6660341030164929,0.7468325489918151
Crash_2015 (股灾),63d,mkt_rf,-0.09243634265108297,-1.2256830836939452,0.22031795848513613,0.18361624520272424,0.7554798113553465
Crash_2015 (股灾),63d,smb,-0.06966577444409354,-1.5042977160829012,0.13250472689756515,0.27923358319200453,0.8192686626835365
Crash_2015 (股灾),63d,hml,0.005620478361683708,0.20758237002119034,0.835555071198778,0.2375781184663949,0.8238383436577182
Crash_2015 (股灾),63d,rmw,0.16705325842328161,2.115305519396441,0.034403916361889435,0.2090031182150467,0.6412139274182376
Crash_2015 (股灾),63d,cma,0.07376956697036151,1.4472690309119849,0.14782158925084152,0.34020837798974735,0.7145179605886716
Crash_2015 (股灾),63d,umd,-0.15585415634370262,-2.016534735760982,0.04374408976486835,0.43621340247520923,0.7527710817145468
Crash_2018 (贸易战),63d,mkt_rf,-0.08895268764862949,-0.6513463420513109,0.514822939755399,1.1663467287247404,0.8345451600826265
Crash_2018 (贸易战),63d,smb,-0.057427861570686814,-2.059035658194153,0.039490822691836965,1.114551220577971,0.9537291071308239
Crash_2018 (贸易战),63d,hml,0.050283662977026286,1.9667681624529034,0.049209944586617246,0.7434188386384754,0.9337924462910999
Crash_2018 (贸易战),63d,rmw,0.05614595673381027,1.8003995818081597,0.07179756681820093,0.7497083448850176,0.9313015878555226
